jiscode	citynamejp	citynameen	regionalname	islandname	islandkana	islandnameen	lat	long	area	coast	h27pop	h22pop	law	desinatedname	manned	delegate
46303	鹿児島県鹿児島郡三島村	Mishima, Kagoshima		硫黄島（鬼界ヶ島）	いおうじま（きがいがしま）	Iojima (Kikaigashima)	30.79047681	130.2916353	11.62	19.1	130	127	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	口之島	くちのしま	Kuchinoshima	29.97818097	129.9233275	13.33	13.3	159	138	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	中之島	なかのしま	Nakanoshima	29.8501132	129.8762549	34.42	28	171	143	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	平島	たいらじま	Tairajima	29.68663486	129.5326833	2.08	4.5	71	81	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	諏訪之瀬島	すわのせじま	Suwanosejima	29.63721	129.7133586	27.61	24.5	73	52	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	悪石島	あくせきじま	Akusekijima	29.4609257	129.6020881	7.49	8.8	79	72	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	小宝島	こだからじま	Kodakarajima	29.22349487	129.3252944	1	3.2	55	54	離島振興法	南西諸島	1	1
46304	鹿児島県鹿児島郡十島村	Toshima, Kagoshima	トカラ列島	宝島	たからじま	Takarajima	29.14299514	129.2046304	7.07	12.1	148	117	離島振興法	南西諸島	1	1
46404	鹿児島県出水郡長島町	Nagashima, Kagoshima		獅子島	ししじま	Shishijima	32.27911931	130.2393381	17.06	36.5	689	757	離島振興法	長島	1	1
46501	鹿児島県西之表市・熊毛郡中種子町・南種子町	Nishinoomote, Nakatane and Minamitane in Kagoshima	大隅諸島	種子島	たねがしま	Tanegashima	30.55580278	130.9747917	444.3	169.6	29847	31854	離島振興法	種子島	1	0
46502	鹿児島県西之表市・熊毛郡中種子町・南種子町	Nishinoomote, Nakatane and Minamitane in Kagoshima	大隅諸島	種子島	たねがしま	Tanegashima	30.55580278	130.9747917	444.3	169.6	29847	31854	離島振興法	種子島	1	0
46505	鹿児島県熊毛郡屋久島町	Yakushima, Kagoshima	大隅諸島	口永良部島	くちのえらぶじま	Kuchinoerabujima	30.45610736	130.2047447	35.81	49.7	0	152	離島振興法	屋久島	1	1
46505	鹿児島県熊毛郡屋久島町	Yakushima, Kagoshima	大隅諸島	屋久島	やくしま	Yakushima	30.34792084	130.5240608	504.29	126.7	12913	13437	離島振興法	屋久島	1	1
13421	東京都小笠原村	Ogasawara, Tokyo	小笠原諸島	父島	ちちじま	Chichijima	27.07089056	142.2096522	23.45	52	2089	1880	小笠原諸島振興開発特別措置法	小笠原諸島	1	1
13421	東京都小笠原村	Ogasawara, Tokyo	小笠原諸島	母島	ははじま	Hahajima	26.6609482	142.1553964	19.88	58	461	491	小笠原諸島振興開発特別措置法	小笠原諸島	1	1
13421	東京都小笠原村	Ogasawara, Tokyo	小笠原諸島	硫黄島	いおうとう	Ioto	24.77899028	141.3159794	23.73	22	401	402	小笠原諸島振興開発特別措置法	小笠原諸島	1	1
13421	東京都小笠原村	Ogasawara, Tokyo	小笠原諸島	南鳥島（マーカス島）	みなみとりしま（まーかすとう）	Minamitorishima (Makasuto)	24.28478467	153.9832744	1.46	7.6	71	12	小笠原諸島振興開発特別措置法	小笠原諸島	1	1
46222	鹿児島県奄美市・大島郡大和村・宇検村・瀬戸内町・龍郷町	Amami, Yamato, Uken, Setouchi and Tatsugo in Kagoshima	奄美群島	大島（奄美大島）	おおしま（あまみおおしま）	Oshima (Amamioshima)	28.31990375	129.4279753	712.41	461	59828	64107	奄美群島振興開発特別措置法	奄美群島	1	1
46523	鹿児島県奄美市・大島郡大和村・宇検村・瀬戸内町・龍郷町	Amami, Yamato, Uken, Setouchi and Tatsugo in Kagoshima	奄美群島	大島（奄美大島）	おおしま（あまみおおしま）	Oshima (Amamioshima)	28.31990375	129.4279753	712.41	461	59828	64107	奄美群島振興開発特別措置法	奄美群島	1	0
46524	鹿児島県奄美市・大島郡大和村・宇検村・瀬戸内町・龍郷町	Amami, Yamato, Uken, Setouchi and Tatsugo in Kagoshima	奄美群島	大島（奄美大島）	おおしま（あまみおおしま）	Oshima (Amamioshima)	28.31990375	129.4279753	712.41	461	59828	64107	奄美群島振興開発特別措置法	奄美群島	1	0
46525	鹿児島県奄美市・大島郡大和村・宇検村・瀬戸内町・龍郷町	Amami, Yamato, Uken, Setouchi and Tatsugo in Kagoshima	奄美群島	大島（奄美大島）	おおしま（あまみおおしま）	Oshima (Amamioshima)	28.31990375	129.4279753	712.41	461	59828	64107	奄美群島振興開発特別措置法	奄美群島	1	0
46525	鹿児島県大島郡瀬戸内町	Setouchi, Kagoshima	奄美群島	加計呂麻島	かけろまじま	Kakeromajima	28.12887222	129.2286222	77.25	147.5	1262	1428	奄美群島振興開発特別措置法	奄美群島	1	1
46525	鹿児島県大島郡瀬戸内町	Setouchi, Kagoshima	奄美群島	与路島	よろしま	Yoroshima	28.04155917	129.1613217	9.35	18.4	84	103	奄美群島振興開発特別措置法	奄美群島	1	1
46525	鹿児島県大島郡瀬戸内町	Setouchi, Kagoshima	奄美群島	請島	うけじま	Ukejima	28.03008806	129.237281	13.34	24.8	82	132	奄美群島振興開発特別措置法	奄美群島	1	1
